,page_ptr_id,body,description,summary,type,transcript,pub_date,created_on,author,category_id,content_lang_id,image_id,institution,pin_rank,is_pinned,Category
10,13,"[{""type"": ""text"", ""value"": {""text"": ""<p></p><p><b>Feelings:</b> Anxious, nervous, stressed, tense, worried, panicky, sense of impending doom...</p><p></p><p><b>Thoughts:</b> Negative thoughts, worries, worrying images, anxiety dreams, poor concentration...</p><p></p><p><b>Physiology:</b> Increased heart rate, blushing, sweating, fatigue, breathlessness, trembling, nausea, fatigue...</p><p></p><p><b>Behaviour:</b> Restlessness, avoiding people, putting things off, disorganised, substance abuse, aggression...</p><p></p><p><b>Homework:</b></p><ul><li>Use these examples to help identify your anxiety profile.</li><li>Use the <b>Mood Tracker</b> to record and monitor your anxiety levels over time.</li><li>Listen to some uplifting music and watch fractals with <a href=\""https://www.youtube.com/watch?v=d6PBFa3VozE\""><b>Mandelbrot Zoom</b></a></li></ul>""}, ""id"": ""33f15fd3-79be-4adc-947c-a6a8b7c541c0""}]",<p><b>A brief overview of signs and symptoms associated with anxiety.</b></p>,How anxiety affects us,text,,2020-03-03,2020-03-03,UWE,1,,10,,1,False,Information
11,17,"[{""type"": ""animated"", ""value"": {""url"": ""https://modules.sam-app.uk/just-breathe/index.html""}, ""id"": ""8fec6ae2-431d-4bc5-966a-07cc14237c1a""}]","<p><b>A simple exercise to help you stabilise your breathing and start to manage your anxious feelings.</b></p><p>Sit with both feet firmly flat on the floor</p><ul><li>Breathe in to a count of one-two-three-four<b>....</b></li><li>Hold for a count of seven<b>.......</b></li><li>Breathe out to a count of eight<b>........</b></li></ul><p>Repeat up to four times.</p><p>Practice twice a day and then use when needed.</p><p></p><p>Read about <a href=""https://www.medicalnewstoday.com/articles/324417.php""><b>4-7-8 breathing</b></a></p><p></p><p>If at any time you feel uncomfortable, stop and wait until the feeling clears.</p><p>It is OK to reduce the times in proportion if that works better for you.</p>",Reduce tension through controlled breathing,selfHelpTool,,2020-03-03,2020-03-20,UWE,1,,14,,1,False,Physical Exercise
12,16,"[{""type"": ""animated"", ""value"": {""url"": ""https://modules.sam-app.uk/picture_peace/index.html""}, ""id"": ""2858b8ea-8db8-411b-8ff9-54e95708ca53""}]","<p><b>A visual activity which can help to engage your attention away from anxious feelings, thoughts and sensations.</b></p><ul><li>Find a quiet place</li><li>Choose one of the images</li><li>Rub the screen to see the image emerge</li><li>Allow your eyes to move over the image</li><li>Pay attention to the details of the image</li></ul><p></p><p>If you like that, try this video of <a href=""https://www.youtube.com/watch?v=4IRLvYOZD8A"">Fractals in nature</a>.</p>",Reduce tension by shifting your attention,selfHelpTool,,2020-03-03,2020-05-05,UWE,1,,13,,1,False,Visual Exercise
13,105,"[{""type"": ""text"", ""value"": {""text"": ""<p>  </p><p><b>A.</b> In order to solve problems and navigate a complex world, the human mind has evolved short cuts for making decisions. These can be seen as a habitual bias towards certain types of response. For example: </p><p><b>B.</b> You select the solution that is most readily available to you (availability bias).</p><p>You prefer the point of view that is most similar to your own beliefs (confirmation bias). You\u2019re sure that things are always going to turn out fine (optimism bias).</p><p><b>C.</b> You can appreciate that these short cuts may not be helpful in all situations.</p><p><b>D.</b> However, we are also capable of different ways of thinking. Consider the following alternatives in relation to your own thinking style:</p><p><b>Watch </b>an animated presentation about five types of creative thinker:</p><p><a href=\""https://www.youtube.com/watch?v=QVQaXdIdEFc\"">https://www.youtube.com/watch?v=QVQaXdIdEFc</a></p><p><b>Listen</b> to a TED talk on the growth mindset: <a href=\""https://www.renaissance.com/edwords/growth-mindset/\"">https://www.renaissance.com/edwords/growth-mindset/</a> </p>""}, ""id"": ""71ddbfaa-9118-4cfa-b4bb-5c3907c7939f""}]",<p> An introduction to cognitive bias and some alternatives </p>,We’re all biased,text,,2020-09-09,2020-09-09,MGT,14,,113,,1,False,Information
14,14,"[{""type"": ""text"", ""value"": {""text"": ""<p></p><ul><li>Anxiety is a normal but unpleasant response that warns us of threats to our physical or mental well-being (cars, debts, illness, interviews, deadlines, certain people) - including those that arise from our own inner conflicts.</li><li>Anxiety is a common presenting problem in health centres and counselling services. The chances are that, in a group of 10 people, 1 or 2 will suffer from moderate to severe anxiety.</li></ul>""}, ""id"": ""146200b8-0cec-46f1-9036-763b32dbbc0e""}]",<p><b>Two facts about anxiety which may help to put your experience into perspective.</b></p>,A very brief description,text,,2020-03-03,2020-05-05,UWE,1,,11,,1,False,Information
15,19,"[{""type"": ""text"", ""value"": {""text"": ""<p></p><p><a href=\""https://www.anxietyuk.org.uk/\""><b>Anxiety UK</b></a><b><br/></b></p><p><a href=\""http://www.beatingtheblues.co.uk/\""><b>Beating the Blues</b></a><b><br/></b></p><p><a href=\""https://llttf.com/home/living-life-to-the-full-series/\""><b>Living life to the full</b></a><b><br/></b></p><p><a href=\""https://www.mind.org.uk/information-support/\""><b>MIND</b></a><b><br/></b></p><p><a href=\""https://www.nhs.uk/conditions/stress-anxiety-depression/\""><b>NHS Mental Health and Wellbeing</b></a></p>""}, ""id"": ""7bab782c-2ab7-41fb-9bf6-d87697ccd0e9""}]",<p><b>Use these links to obtain further self-help information and resources from established mental health organisations.</b></p>,Online resources to support your work with SAM,text,,2020-03-04,2020-03-04,UWE,2,,16,,1,False,Links
16,21,"[{""type"": ""animated"", ""value"": {""url"": ""https://modules.sam-app.uk/only_a_boat/index.html""}, ""id"": ""a54960f0-0eca-4249-a8b4-e3c639ec6bbd""}]","<p><b>A mental exercise to practice letting go of unwanted thoughts together with animations.</b></p><p></p><p>Find a quiet place, close your eyes and:</p><ul><li>Picture your thoughts as boats sailing down a river.</li><li>Picture yourself sitting on the riverbank, watching the boats go by.</li><li>Stay where you are and let your thoughts drift away.</li></ul><p></p><p><b>Homework</b></p><ul><li>Practice twice daily for two weeks and then use as required.</li></ul>",Watch your thoughts float away,selfHelpTool,,2020-03-04,2020-03-20,UWE,2,,18,,1,False,Mental Exercise
17,22,"[{""type"": ""text"", ""value"": {""text"": ""<p></p><p>The idea that how we think influences how we feel and behave is not surprising and is central to cognitive-behaviour therapy (CBT) for anxiety and depression.</p><p>This exercise is possibly easier with a CBT therapist but you might like to challenge yourself. For any depressing thought that occurs to you, write it down and ask yourself, honestly and creatively:</p><ul><li>How do I know if it\u2019s true?</li><li>Is there a more helpful way for me to think about the situation?</li><li>Even if it\u2019s true, does it really matter?</li></ul><p>There are no right answers but you might find that it helps to loosen up your thinking.</p><p></p><p>For more <b>information about CBT</b> see <a href=\""https://www.psychologytools.com/self-help/what-is-cbt/\""><b>here</b></a></p>""}, ""id"": ""f35d49df-9851-4296-a6da-9d99cfaa675a""}]",<p><b>An exercise for you to try being your own cognitive-behavioural therapist with a link to information about the real thing.</b></p>,Are some thoughts more helpful than others?,text,,2020-03-04,2020-03-04,UWE,2,,19,,1,False,Mental Exercise
18,23,"[{""type"": ""text"", ""value"": {""text"": ""<p></p><p>Therapists observe that three types of belief maintain feelings of depression and stop people getting help :</p><ul><li>I am no good.</li><li>The world is no good.</li><li>There\u2019s nothing that anyone can do about it.</li></ul><p>Overcoming depression involves learning to put aside these types of thought, reducing their influence on your feelings and behaviour.</p><p></p><p><b>Homework</b></p><p>Listen to this <a href=\""https://www.nhs.uk/Video/Pages/unhelpful-thinking-podcast.aspx?searchtype=Tag&amp;searchterm=Mental+health__Moodzone&amp;\""><b>NHS audio guide</b></a></p><p></p><p><b>A joke</b></p><p>\u2018<i>I used to think that the brain was the most important organ in the body.</i> <i>Until I realised where that thought came from.\u2019</i></p>""}, ""id"": ""c30bb1ed-34cf-4b3b-a67a-9b24eee3c988""}]","<p><b>Introducing the idea that our thinking is biased, together with an audio guide and a joke.</b></p>",Three beliefs that don’t help,text,,2020-03-04,2020-03-04,UWE,2,,20,,1,False,Information
19,25,"[{""type"": ""text"", ""value"": {""text"": ""<p></p><ul><li>Depression is a natural human response to life events; it is not a sign of weak character.</li><li>Some depressed feelings will be temporary because their cause is temporary e.g. physical exhaustion.</li><li>There are effective therapies for depression, accessible on- and offline.</li></ul><p></p><p><b>Homework</b></p><p>Get a perspective on your feelings of depression by talking to someone you trust, or sign in to the <b>Social Cloud</b> to hear from other users.</p>""}, ""id"": ""aec0b67c-ddff-47e8-8214-f6f4a35855c2""}]",<p><b>Part of self-help for depression is using positive self-talk.</b> <b>Three evidence-based examples are provided here.</b></p>,....even if you don’t feel like it right now,text,,2020-03-04,2020-03-04,UWE,2,,22,,1,False,Information
20,24,"[{""type"": ""animated"", ""value"": {""url"": ""https://modules.sam-app.uk/change-the-focus/index.html""}, ""id"": ""6c8c5077-b9b2-468c-83ea-edd428a45c84""}]","<p><b>A mental exercise for developing focusing skill and helping to reduce the impact of depressed feelings, together with a training video.</b></p><ul><li>Focus on your breath as it enters and leaves your body.</li><li>Now find and focus on a sound nearby.</li><li>One by one, shift your attention focus to other sounds nearby.</li><li>One by one, shift your attention focus to sounds further away.</li><li>Return your attention focus to your breathing.</li></ul><p></p><p><b>Homework</b></p><ul><li>Practice twice daily until you can change your focus easily at any time.</li></ul><p></p><p>Try this <a href=""https://www.youtube.com/watch?v=OgEt3HVXOHQ"">Attention Training video</a> for focusing practice</p>",Shift your attention away from troubling thoughts and feelings,selfHelpTool,,2020-03-04,2020-03-20,UWE,2,,21,,1,False,Mental Exercise
21,26,"[{""type"": ""text"", ""value"": {""text"": ""<p></p><p>Research shows that music can resonate positively with depressed feelings. Find out what suits you from these selections - or search for more.</p><p><a href=\""https://www.youtube.com/watch?v=XMbvcp480Y4&amp;list=RDKylMqxLzNGo&amp;index=5\""><b>Try classical</b></a><b><br/></b></p><p><a href=\""https://www.youtube.com/watch?v=nFwkeOyYV1I\""><b>Try electronic</b></a><b><br/></b></p><p><a href=\""https://www.youtube.com/watch?v=bDI8i_PFhDU\""><b>Try jazz</b></a></p>""}, ""id"": ""aaee62b1-7a1e-4b53-a954-7e149a7d3ab7""}]",<p><b>Three musical selections to help you find a musical style that is compatible with depressed feelings.</b></p>,Sit back and listen,text,,2020-03-04,2020-03-04,UWE,2,,23,,1,False,Audio Exercise
22,20,"[{""type"": ""text"", ""value"": {""text"": ""<p><a href=\""https://www.youtube.com/watch?v=CHX8A4KISIs\""><b>Dance for depression</b></a> (play it loud?)</p>""}, ""id"": ""bbea1982-2347-4382-b334-8a750733bcbe""}]",<p></p><p><b>A national initiative on depression including a dance tutorial for you to use.</b></p>,The Mental Health Dance Challenge,text,,2020-03-04,2020-03-28,UWE,2,,17,,1,False,Physical Exercise
23,27,"[{""type"": ""text"", ""value"": {""text"": ""<p></p><p>When you are feeling depressed, you may also notice:</p><ul><li>Reduced interest and pleasure in your usual activities.</li><li>Reduced mental and physical energy.</li><li>A more pessimistic attitude towards life and people.</li><li>A tendency to withdraw from relationships.</li><li>Impaired performance at work.</li><li>Changes in your eating and sleeping habits.</li><li>Physical symptoms such as aches, pains and stomach upsets.</li><li>Increased use of alcohol and drugs.</li></ul><p></p><p><b>Homework</b></p><p>Listen to this <a href=\""https://www.nhs.uk/conditions/stress-anxiety-depression/moodzone-mental-wellbeing-audio-guides/\""><b>NHS audio guide to depression</b></a><b>.</b></p>""}, ""id"": ""137f6e1d-22f6-4c8e-8cef-9fcb53da5d74""}]",<p><b>A list of the physical and mental changes that can accompany depression together with an audio guide.</b></p>,What you may notice when feeling depressed,text,,2020-03-04,2020-03-04,UWE,2,,24,,1,False,Information
24,28,"[{""type"": ""text"", ""value"": {""text"": ""<p></p><p>Expressing yourself through writing and drawing can provide relief from troubling thoughts and feelings.</p><p>For this exercise:</p><ul><li>Set aside 30-60 minutes every day.</li><li>Write about or draw a picture of whatever is on your mind.</li><li>Take time to study what you\u2019ve written or drawn.</li><li>Keep it private to yourself - unless you want to share it.</li></ul><p><b>A suggestion</b></p><p>If writing, try using these headings: What I did; What I felt; What I learnt.</p><p>If drawing, experiment with colours.</p><p></p><p><b>Homework</b></p><ul><li>Do this for at least a couple of weeks and continue if you find it useful.</li></ul>""}, ""id"": ""fa122941-22d5-4ee7-ae68-281c20068ffd""}]",<p><b>Creative activities to reduce the impact of troubling thoughts and feelings.</b></p>,Writing and drawing can help,text,,2020-03-04,2020-03-04,UWE,2,,25,,1,False,Creative Exercise
25,29,"[{""type"": ""text"", ""value"": {""text"": ""<p></p><p>Feeling depressed can be an intense experience which separates you from the world. So, it is useful to learn to ground yourself in your physical body, in the present time and place, and in relation to the rest of the world.</p><p>Here are some examples for you to try:</p><ul><li>Touch the physical objects around you and feel their solidity. Do a bit of tidying up if you feel like it.</li><li>Walk with firm steps around your room or garden. Pop to the shop for something.</li><li>Have a chat with someone, about anything.</li></ul><p></p><p>Try these video instructions for the <a href=\""https://www.altumhealth.co.uk/grounding-technique/\""><b>5-4-3-2-1grounding technique.</b></a></p>""}, ""id"": ""4e0d931c-c4de-414f-9249-a72b47f3eefa""}]",<p><b>Physical actions which can help to moderate the experience of anxiety together with a video guide to one technique.</b></p>,Reduce feelings of detachment and unreality,text,,2020-03-04,2020-03-04,UWE,2,,26,,1,False,Physical Exercise
26,31,"[{""type"": ""text"", ""value"": {""text"": ""<p></p><p>You may be feeling depressed because:</p><ul><li>You are exhausted.</li><li>You are ill or are recovering from illness.</li><li>You\u2019ve suffered a physical or mental trauma.</li><li>You\u2019ve had a recent bereavement, loss or separation.</li><li>You\u2019ve suffered bullying or harassment, on- or offline.</li><li>You\u2019ve failed at something important to you.</li><li>Your dreams for the future have had to be abandoned.</li><li>You have a personal conflict which is unresolved.</li></ul><p></p><p>Read about other people\u2019s experiences:</p><ul><li><a href=\""https://www.bbc.co.uk/mediacentre/mediapacks/mental-health-and-me/depression\""><b>Mental health and me</b></a><br/></li><li><a href=\""https://www.time-to-change.org.uk/category/blog/depression\""><b>Depression blogs</b></a><b><br/></b></li><li><a href=\""https://www.mentalhealth.org.uk/stories/harrys-story-overcoming-severe-depression\""><b>Overcoming depression</b></a></li></ul>""}, ""id"": ""35eb5a70-47ea-4db5-a068-bb82f4bdf0f0""}]",<p><b>Reasons for feeling depressed together with some personal experiences.</b></p>,A list of possible causes,text,,2020-03-04,2020-03-04,UWE,2,,28,,1,False,Information
27,32,"[{""type"": ""text"", ""value"": {""text"": ""<p></p><ul><li><b>Accept your feelings.</b> Feeling depressed is a natural response to hard times. Try not to make it worse by criticising yourself for how you feel.</li><li><b>Be active.</b> Research shows that activity helps to moderate depressed feelings. Move around the room; do some housework; go for a walk....</li><li><b>Communicate.</b> Talk, phone or write to someone you know. You don\u2019t have to talk about how you\u2019re feeling but you might find it useful.</li></ul><p></p><p>Taking these actions will help you</p><ul><li>Feel more in control.</li><li>Shift attention away from negative thoughts.</li><li>Stay connected to the rest of the world.</li></ul><p></p><p><b>Homework</b></p><ul><li>Record the level of your depressed feelings on the <b>Mood Tracker.</b></li><li>Explore the self-help options on SAM to see what will be useful for you.</li></ul>""}, ""id"": ""35a914c7-bba0-4434-804f-b8f1f711164a""}]",<p><b>Three evidence-based recommendations for the daily management of depressed feelings.</b></p>,What you can do to start managing depressed feelings,text,,2020-03-04,2020-03-04,UWE,2,,29,,1,False,Information
28,30,"[{""type"": ""text"", ""value"": {""text"": ""<p></p><p>Freud wrote (1895) that the aim of psychological therapy is to \u201c<i>Transform neurotic misery into common unhappiness.</i>\u201d In other words, it is normal to feel depressed from time to time. But.... if your feelings of unhappiness are intense, persistent and stop you engaging in the activities of everyday life, then consider seeking professional advice to establish whether you would benefit from psychiatric treatment or psychological therapy.</p>""}, ""id"": ""07b17302-39b7-4b18-8b1f-8138144dbb68""}]",<p><b>A quotation from Sigmund Freud the psychoanalyst and its implications.</b></p>,Something to think about?,text,,2020-03-04,2020-05-05,UWE,2,,27,,1,False,Information
29,86,"[{""type"": ""text"", ""value"": {""text"": ""<p>  </p><p><b>Optimism</b> is the tendency to expect events to have positive outcomes, to believe you can achieve your goals, and to see the good in other people\u2019s behaviour. It is one of the predictors of professional success and a long life. </p><p>Read about the psychology of optimism: <a href=\""http://positivepsychology.org.uk/the-many-sides-of-optimism/\"">http://positivepsychology.org.uk/the-many-sides-of-optimism/</a></p><p><b>Pessimism</b> is the tendency to expect that events and people will turn out badly. Long-term, it can be bad for your health but can also motivate you to take better care of it. Pessimism discourages risk-taking and can therefore act as a moderator of over-optimistic plans. </p><p>Read about the benefits of being a pessimist: </p><p><a href=\""http://theconversation.com/the-surprising-benefits-of-being-a-pessimist-91851\"">http://theconversation.com/the-surprising-benefits-of-being-a-pessimist-91851</a></p><p><b>Telling a joke</b> does not make you a comedian and being optimistic does not make you an optimist; both optimism and pessimism have a role to play in daily life. </p><p>Read about optimism and pessimism as tools for living: <a href=\""https://www.psychologytoday.com/gb/articles/201111/the-uses-and-abuses-optimism-and-pessimism\"">https://www.psychologytoday.com/gb/articles/201111/the-uses-and-abuses-optimism-and-pessimism</a></p><p><b>Action suggestion</b></p><p>Complete each of these sentences five times to get a sense of how optimism and pessimism are balanced for you:</p><ul><li>I tend to be optimistic about........</li><li>I tend to be pessimistic about........ </li></ul>""}, ""id"": ""739fa63b-2856-466e-9450-bbd9b3bb1795""}]",<p>How optimism and pessimism can both be useful </p>,Pros and cons,text,,2020-09-09,2020-09-09,MGT,12,,94,,1,False,Information
30,34,"[{""type"": ""text"", ""value"": {""text"": ""<p></p><p>When you feel lonely, that\u2019s almost all you can think about; you\u2019re not thinking about other people.</p><p>However, many studies and personal stories report that:</p><ul><li>Having regular contact with other people reduces loneliness and lifts mood.</li><li>Doing something for other people shifts attention away from unhappy feelings and helps people feel better about them self.</li></ul><p></p><p><b>What you can do for other lonely people:</b></p><ul><li>Reach out. Arrange to meet face to face or talk on the phone.</li><li>Encourage people to start conversations, whether a short face-to-face chat or joining an online discussion.</li><li>Listen and don&#x27;t make assumptions. People can feel lonely even if it looks like they have a busy and full life.</li><li>Offer to go to a class or group activity with them.</li><li>Suggest they look for talking treatments in their local area to help them manage the mental health effects of loneliness.</li><li>Recommend an online support community.</li></ul><p><i>Source: MIND</i></p>""}, ""id"": ""b7a33515-b01e-44a7-9577-01733961a23b""}]",<p><b>Some ways in which you can reduce your own loneliness by helping other people.</b></p>,Get outside yourself to feel better inside,text,,2020-03-04,2020-03-04,UWE,3,,31,,1,False,Information
31,35,"[{""type"": ""text"", ""value"": {""text"": ""<p></p><p>Here are some changes you can make to feel more connected to people:</p><ul><li>Initiate brief contacts with the people you often see in your neighbourhood.</li><li>Initiate brief conversations with people at work.</li><li>Search for social and community groups where you can meet people.</li><li>Search for activity groups which match your interests.</li><li>Talk to group leaders about the groups to see if they might suit you.</li><li>Visit social and activity groups that you think might interest you.</li></ul><p></p><p><b>Homework</b></p><ul><li>Each week, choose ONE of the following options above to work on.</li><li>Remind yourself that it takes time to settle into new groups and relationships..</li><li>Don\u2019t try too hard but don\u2019t give up.</li></ul>""}, ""id"": ""312c454a-cac2-4172-9cb9-c16fbf914ca1""}]",<p><b>Introducing the hard part - what you need to do if you want things to improve.</b></p>,Take small steps to increase your social contacts,text,,2020-03-04,2020-03-04,UWE,3,,32,,1,False,Information
32,36,"[{""type"": ""text"", ""value"": {""text"": ""<p></p><p>We all have beliefs about other people and some beliefs stop us talking to them. Examples of beliefs associated with loneliness are:</p><p>\u00d7 \u2018I don\u2019t have anything to say to people.\u2019</p><p>\u00d7 \u2018People find me boring.\u2019</p><p>\u00d7 \u2018People won\u2019t want to talk to me.\u2019<br/></p><p>If we avoid contact with people we have no opportunity to find out if our beliefs are helpful (if true) or unhelpful (if untrue).<br/></p><p>Examples of more helpful thinking are:</p><p>\u00d7 <i>\u2018</i>If I want to feel less lonely, I will have to take the first step with other people.\u2019</p><p>\u00d7 \u2018Talking to people will get easier with practice.\u2019</p><p>\u00d7 \u2018I can\u2019t expect everyone to like me.\u2019<br/></p><p>Cognitive-Behaviour Therapy (CBT) is an evidence- based psychotherapy which can help you identify and modify unhelpful thinking. You can access it on- or offline.</p><p></p><p><b>Homework</b></p><ul><li>Search for <b>Online CBT</b> to find out more about Cognitive-Behaviour Therapy or contact your Health Centre for local options.</li></ul>""}, ""id"": ""ca7deab5-53b8-43e4-9e8c-a123cb2f8d2a""}]",<p><b>Examples of helpful and unhelpful thinking related to loneliness.</b></p>,Some thoughts are more helpful than others.,text,,2020-03-04,2020-03-04,UWE,3,,33,,1,False,Information
